,Unnamed: 0,Book Id,Category
728,728,52397,African American
730,730,52397,African Americans
732,732,52397,American Literature
734,734,52397,Audiobooks
736,736,52397,California
737,737,52397,Comic Books
738,738,52397,Comics & Graphic Novels
741,741,52397,Dystopian
742,742,52397,Dystopias
747,747,52397,Graphic Novels
748,748,52397,Literary
751,751,52397,Psychic Ability
752,752,52397,Science Fiction
753,753,52397,Strips
754,754,52397,Survival
757,757,52397,Women
761,761,112974860,Social Science
762,762,18952381,Fantasy
764,764,18952381,Fiction / Action & Adventure
765,765,18952381,Fiction / Fantasy / Epic
766,766,18952381,Fiction / Fantasy / General
767,767,18952381,Friendship
769,769,18952381,Imaginary Wars And Battles
770,770,18952381,Revolutions
772,772,51942513,Buddhism
773,773,51942513,Conduct Of Life
777,777,51942513,Meaning (Psychology)
780,780,51942513,Psychology
781,781,51942513,Self-Help
782,782,51942513,Self-Realization
786,786,1303,Audiobooks
787,787,1303,Business
788,788,1303,Business & Economics
789,789,1303,Conduct Of Life
791,791,1303,Control (Psychology)
795,795,1303,Gesellschaft
799,799,1303,Leadership
804,804,1303,Nonfiction
806,806,1303,Personal Growth
810,810,1303,Political Science
819,819,1303,Psychology
820,820,1303,Self-Help
824,824,83337,Chess
828,828,9547888,Family & Relationships
829,829,9547888,Interpersonal Relations
830,830,9547888,Intimacy (Psychology)
831,831,9547888,Psychology
832,832,12343111,Chess
837,837,44421460,Family
840,840,44421460,Friendship
842,842,44421460,Love
844,844,44421460,Redemption
845,845,44421460,Romance
848,848,44421460,Time Travel
849,849,23168277,1961-1975
854,854,23168277,Historical
857,857,23168277,Soldiers
858,858,23168277,Thrillers
860,860,23168277,Vietnam War
861,861,23168277,War & Military
870,870,6334,England
871,871,6334,English Literature
872,872,6334,Etc
877,877,6334,Friendship
883,883,6334,Literary
884,884,6334,Literature
886,886,6334,Nouvelles
887,887,6334,Novela Inglesa
892,892,6334,Psychological
893,893,6334,Psychological Fiction
897,897,6334,Science Fiction
900,900,6334,Women
904,904,10846336,African American
909,909,10846336,African Americans
910,910,10846336,Amerikanisches Englisch
911,911,10846336,Brothers And Sisters
913,913,10846336,Family Life
920,920,10846336,Literary
924,924,10846336,Poor
925,925,10846336,Poverty
929,929,10846336,Reading Level-Grade 7
930,930,10846336,Reading Level-Grade 8
932,932,10846336,Roman
933,933,10846336,Rural Poor
934,934,10846336,Siblings
935,935,10846336,Teenagers
939,939,23515727,American Fiction
940,940,23515727,American Fiction (Fictional Works By One Author)
944,944,23515727,Literature
945,945,23515727,Murderers
948,948,23515727,Psychological
949,949,23515727,Psychological Fiction
951,951,23515727,Spanish Language Materials
952,952,23515727,Suspense
953,953,23515727,Suspense Fiction
956,956,23515727,Thrillers
965,965,77203,American Fiction
967,967,77203,Amitié Masculine
971,971,77203,Betrayal
973,973,77203,Bildungsromans
974,974,77203,Boys
979,979,77203,Coming Of Age
981,981,77203,Drama
985,985,77203,Fictional Works
986,986,77203,Fictional Works [Publication Type]
989,989,77203,Friendship
993,993,77203,Histoire
994,994,77203,Historical Fiction
996,996,77203,Interpersonal Relations
1000,1000,77203,Literary Fiction
1001,1001,77203,Literature
1004,1004,77203,Male Friendship
1010,1010,77203,Nouvelles
1014,1014,77203,Open Syllabus Project
1023,1023,77203,Social Conditions
1027,1027,77203,Teenage Boys
1032,1032,18774964,Conduct Of Life
1039,1039,18774964,Friendship
1042,1042,18774964,Humor
1044,1044,18774964,Humorous
1045,1045,18774964,Interpersonal Relations
1048,1048,18774964,Loss (Psychology)
1049,1049,18774964,Love
1069,1069,36642458,Action & Adventure
1071,1071,36642458,American Literature
1072,1072,36642458,Children'S Fiction
1073,1073,36642458,Dystopian
1074,1074,36642458,Extraterrestrial Beings
1078,1078,36642458,Science Fiction
1080,1080,36642458,Survival
1082,1082,36642458,War
1083,1083,36642458,Young Adult Fiction
1084,1084,18952341,Action & Adventure
1086,1086,18952341,Epic
1087,1087,18952341,Fantasy
1089,1089,18952341,Fiction / Action & Adventure
1090,1090,18952341,Fiction / Fantasy / Epic
1091,1091,18952341,Fiction / Fantasy / General
1092,1092,18952341,Friendship
1094,1094,18952341,Imaginary Places
1095,1095,18952341,Justice
1096,1096,18952341,Magic
1097,1097,18952341,Male Friendship
1099,1099,18952341,Revolutions
1102,1102,12505,Brothers
1104,1104,12505,Classic Literature
1106,1106,12505,Continental European Fiction (Fictional Works By One Author)
1107,1107,12505,Dictionaries
1108,1108,12505,English Fiction
1109,1109,12505,English Language
1110,1110,12505,English Literature
1112,1112,12505,Fathers And Daughters
1114,1114,12505,Fiction In English
1116,1116,12505,German
1117,1117,12505,Good And Evil
1118,1118,12505,Histoire
1119,1119,12505,Historical Fiction
1120,1120,12505,History
1123,1123,12505,Nouvelles
1124,1124,12505,Princes
1133,1133,12505,Social Conditions
1136,1136,12505,Translations
1138,1138,12505,Translations Into English
1143,1143,50898126,American Literature
1147,1147,687278,Buddhism
1153,1153,687278,Suffering
1157,1157,30753841,Cooking
1165,1165,180357146,Families
1167,1167,180357146,Historical Fiction
1170,1170,33574273,& Magic
1172,1172,33574273,Adventure And Adventurers
1175,1175,33574273,American Fiction
1177,1177,33574273,Brothers And Sisters
1178,1178,33574273,Children'S Fiction
1179,1179,33574273,Classics
1180,1180,33574273,Decision Making
1182,1182,33574273,Extraterrestrial Beings
1183,1183,33574273,Families
1184,1184,33574273,Family Life
1185,1185,33574273,Fantasy
1186,1186,33574273,Fantasy Fiction
1187,1187,33574273,Fathers And Daughters
1189,1189,33574273,Friendship
1192,1192,33574273,Good And Evil
1195,1195,33574273,Juvenile Fiction
1199,1199,33574273,Love
1200,1200,33574273,Missing Persons
1201,1201,33574273,Moral And Ethical Aspects
1213,1213,33574273,Reading Level-Grade 7
1214,1214,33574273,Reading Level-Grade 8
1216,1216,33574273,Responsibility
