,Book Id,Category
1922,5129,Dystopian
1923,5129,Dystopias
1925,5129,English Fiction
1926,5129,English Literature
1927,5129,English Science Fiction
1929,5129,Ethics
1932,5129,Fiction In English
1938,5129,History And Criticism
1942,5129,Literature
1949,5129,Nouvelles
1955,5129,Psychological
1956,5129,Psychological Fiction
1963,5129,Roman
1968,5129,Science Fiction
1969,5129,Science-Fiction
1978,8908,Epidemics
1984,8908,Horror
1985,8908,Horror Fiction
1986,8908,Horror Tales
1987,8908,Humor
1988,8908,Imaginary Wars And Battles
1991,8908,Nouvelles
1996,8908,Survival
1997,8908,War
1998,8908,War & Military
2003,43263680,Fantasy
2006,43263680,Magic
2012,43263680,Thrillers
2021,7015403,Self-Help
2024,13588356,Business & Economics
2032,33,British And Irish Fiction (Fictional Works By One Author)
2035,33,English Language
2036,33,English Literature
2037,33,Epic
2038,33,Fantasy
2039,33,Fantasy Fiction
2043,33,Fiction In English
2057,33,Nouvelles
2076,13497818,Death
2079,13497818,England
2081,13497818,English Literature
2092,13497818,Psychological
2093,13497818,Roman
2095,13497818,Spanish Language Materials
2099,61439040,Adaptations
2104,61439040,British And Irish Fiction (Fictional Works By One Author)
2107,61439040,Ciencia-Ficción
2108,61439040,Classic Literature
2109,61439040,Classics
2110,61439040,Comic Books
2116,61439040,Drama
2117,61439040,Dystopian
2119,61439040,Dystopias
2123,61439040,English Fiction
2124,61439040,English Literature
2127,61439040,English Science Fiction
2130,61439040,Fantasy
2137,61439040,Historical
2139,61439040,History And Criticism
2144,61439040,Journalists
2147,61439040,Literary
2148,61439040,Literature
2151,61439040,Man-Woman Relationships
2158,61439040,Nouvelles
2163,61439040,Open Syllabus Project
2172,61439040,Psychological Fiction
2180,61439040,Science Fiction
2184,61439040,Strips
2194,61439040,Traducciones Al Español
2208,5107,American Fiction
2209,5107,American Fiction (Fictional Works By One Author)
2211,5107,Bildungsromans
2213,5107,Brothers And Sisters
2216,5107,Chang Pian Xiao Shuo
2217,5107,Classics
2218,5107,Coming Of Age
2219,5107,Conduct Of Life
2223,5107,Fictional Works
2235,5107,Interpersonal Relations
2238,5107,Juvenile Fiction
2241,5107,New York (N.Y.)
2243,5107,Nouvelles
2257,7624,Adventure
2258,7624,Adventure And Adventurers
2263,7624,British And Irish Fiction (Fictional Works By One Author)
2268,7624,Death
2269,7624,English Literature
2271,7624,Ethics
2273,7624,Fiction / Action & Adventure
2277,7624,Good And Evil
2278,7624,History And Criticism
2280,7624,Interpersonal Relations
2288,7624,Psychological
2290,7624,Psychological Fiction
2296,7624,Shipwrecks
2297,7624,Survival
2300,7624,Thriller
2307,153747,Action & Adventure
2309,153747,Adventure And Adventurers
2314,153747,American Fiction (Fictional Works By One Author)
2315,153747,American Literature
2325,153747,Classic Literature
2326,153747,Comic Books
2330,153747,Drama
2333,153747,Epic
2335,153747,Fantasy
2339,153747,Fictional Works
2343,153747,Historical
2344,153747,History
2345,153747,History And Criticism
2348,153747,Literature
2357,153747,Nouvelles
2360,153747,Open Syllabus Project
2368,153747,Psychological
2369,153747,Psychological Fiction
2370,153747,Psychology
2376,153747,Reading Level-Grade 8
2378,153747,Revenge
2388,153747,Shipwrecks
2390,153747,Strips
2410,6892870,Revenge
2412,6892870,Thrillers
2413,13624688,American Fantasy Fiction
2414,13624688,Amerikanisches Englisch
2415,13624688,Fantasy
2416,13624688,Fantasy Fiction
2417,13624688,Fantasía
2425,13624688,Magic
2427,13624688,Nouvelles
2431,13624688,Roman
2442,375802,American Science Fiction
2443,375802,Amerikanisches Englisch
2452,375802,Brothers And Sisters
2455,375802,Ciencia-Ficción
2479,375802,Reading Level-Grade 7
2480,375802,Reading Level-Grade 8
2482,375802,Science Fiction
2492,8909,Action & Adventure
2493,8909,Adaptations
2494,8909,Adventure And Adventurers
2496,8909,British And Irish Fiction (Fictional Works By One Author)
2497,8909,Children'S Fiction
2498,8909,Classic Literature
2499,8909,Comic Books
2502,8909,English Language
2503,8909,English Literature
2504,8909,English Science Fiction
2506,8909,Extraterrestrial Beings
2507,8909,Fantasy
2517,8909,Imaginary Wars And Battles
2522,8909,Juvenile Fiction
2523,8909,Life On Other Planets
2524,8909,Literature
2531,8909,Open Syllabus Project
2536,8909,Science Fiction
2543,8909,Strips
2546,8909,War
2547,8909,War & Military
2550,26082916,Action & Adventure
2552,26082916,Dystopian
2553,26082916,Dystopias
2559,26082916,Nouvelles
2564,26082916,Science Fiction
2567,26082916,Thrillers
2572,17332218,Epic
2573,17332218,Epic Fantasy
2574,17332218,Fantasy
2575,17332218,Fantasy Fiction
2581,17332218,Imaginary Wars And Battles
2583,17332218,Life On Other Planets
2584,17332218,Magic
2586,17332218,Nouvelles
2588,7235533,American Literature
2589,7235533,Epic
2590,7235533,Epic Fantasy
2591,7235533,Fantasy
2595,7235533,Imaginary Places
2596,7235533,Imaginary Wars And Battles
2597,7235533,Kings And Rulers
2598,7235533,Magic
2610,873809,Action & Adventure
2611,873809,Dune (Imaginary Place)
2614,873809,Literature
2615,873809,Science Fiction
2616,44492287,American Science Fiction
2618,44492287,Dune (Imaginary Place)
2622,44492287,Imaginary Places
2623,44492287,Nouvelles
2626,44492287,Science Fiction
2637,40293,Science Fiction
2640,40293,Time Travel
2642,76658,American Fantasy Fiction
2643,76658,Death
2644,76658,Fantasy
2647,76658,Magic
2652,29100194,Psychology
2654,29100194,Social Psychology
2665,849380,Interpersonal Relations
2667,849380,Man-Woman Relationships
2681,849380,Psychology
2688,26152839,Children'S Fiction
2689,26152839,Dragons
2690,26152839,Fantasy
2691,26152839,Fantasy Fiction
2693,26152839,Juvenile Fiction
2695,26152839,Young Adult Fiction
2696,44439415,American Science Fiction
2697,44439415,Dune (Imaginary Place)
2703,44439415,Roman
2704,44439415,Science Fiction
2705,44439415,Science-Fiction
2708,44492286,American Science Fiction
2709,44492286,Dune (Imaginary Place)
2710,44492286,Fantasy
2712,44492286,Fiction In English
2717,44492286,Reading Level-Grade 7
2718,44492286,Reading Level-Grade 8
2720,44492286,Science Fiction
2721,44492285,American Science Fiction
2723,44492285,Dune (Imaginary Place)
2727,44492285,Imaginary Places
2733,44492285,Science Fiction
2738,44767458,American Literature
2739,44767458,American Science Fiction
2743,44767458,Dune (Imaginary Place)
2745,44767458,Fantasy Fiction
2752,44767458,Science Fiction
2753,44767458,Science-Fiction
2756,8520610,Interpersonal Relations
2768,8520610,Psychology
2775,7664041,American Fantasy Fiction
2776,7664041,Children'S Fiction
2777,7664041,Dragons
2778,7664041,Fantasy
2779,7664041,Fantasy Fiction
2781,7664041,Imaginary Places
2783,7664041,Juvenile Fiction
2784,7664041,Magic
2787,7664041,Young Adult Fiction
2791,2248573,Children'S Fiction
2796,2248573,Dragons
2800,2248573,Etc. Pour La Jeunesse
2802,2248573,Fantasy
2803,2248573,Fantasy Fiction
2804,2248573,Ficción Juvenil
2807,2248573,Good And Evil
2808,2248573,Juvenile Fiction
2811,2248573,Magia
2812,2248573,Magic
2815,2248573,Nouvelles
2816,2248573,Novela Fantástica
2820,2248573,Young Adult Fiction
2823,45978,Action & Adventure
2825,45978,Animals
2826,45978,Chang Pian Xiao Shuo
2827,45978,Children'S Fiction
2829,45978,Dragons
2831,45978,Fantasy
2832,45978,Fantasy Fiction
2833,45978,Fantasía
2834,45978,Ficción Juvenil
2837,45978,Imaginary Places
2838,45978,Juvenile Fiction
2839,45978,Magic
2843,45978,Novela Juvenil
2845,45978,Spanish Language Materials
2847,45978,Traducciones Al Español
2848,45978,Young Adult Fiction
2849,45978,Young Men
2853,11449,English Literature
2857,11449,Short Stories
2860,113436,Action & Adventure
2861,113436,Adventure
2862,113436,Adventure And Adventurers
2863,113436,American Fantasy Fiction
2864,113436,American Fiction
2865,113436,Animals
2867,113436,Children'S Fiction
2872,113436,Dragons
2875,113436,Epic
2877,113436,Etc. Pour La Jeunesse
2881,113436,Fantasy
2883,113436,Fantasy Fiction
2884,113436,Ficción Juvenil
2894,113436,Juvenile Fiction
2896,113436,Magia
2897,113436,Magic
2901,113436,Nouvelles
2902,113436,Novela Fantástica
2903,113436,Novela Juvenil
2909,113436,Reading Level-Grade 7
2910,113436,Reading Level-Grade 8
2914,113436,Science Fiction
2915,113436,Spanish Language Materials
2919,113436,War
2920,113436,Young Adult Fiction
2921,113436,Young Men
2925,238137,Crime
2933,238137,Mystery & Detective
2934,238137,Mystery Fiction
2937,238137,Police
2943,18143977,American Fiction
2944,18143977,Amerikanisches Englisch
2946,18143977,Bildungsromans
2956,18143977,Fiction / Literary
2958,18143977,Friendship
2966,18143977,Historical
