Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",5,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,2024/05/17,2023/12/03,,,read,,,,1,0
41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,"=""""","=""""",0,4.44,Amazon Digital Services,Kindle Edition,651,2019,2019,,2025/08/30,to-read,to-read (#44),to-read,,,,0,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.49,Dandy House,Kindle Edition,446,2020,2020,,2025/08/23,to-read,to-read (#43),to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",0,4.29,Harriman House,Paperback,242,2020,2020,,2025/08/22,to-read,to-read (#42),to-read,,,,0,0
30646587,"The Simple Path to Wealth: Your Road Map to Financial Independence and a Rich, Free Life",J.L. Collins,"Collins, J.L.",Mr. Money Mustache,"=""""","=""""",0,4.42,jlcollinsnh.com,Kindle Edition,286,2016,2016,,2025/08/22,to-read,to-read (#41),to-read,,,,0,0
203578847,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250319188""","=""9781250319180""",0,4.38,Tor Books,Hardcover,1344,2024,2024,,2025/08/18,to-read,to-read (#40),to-read,,,,0,0
157608295,Wool (Silo #1),Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.23,William Morrow,Kindle Edition,594,2023,2012,2025/08/09,2023/12/03,to-read,to-read (#39),to-read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2025/08/09,to-read,to-read (#38),to-read,,,,0,0
68320207,Tress of the Emerald Sea,Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,"=""""","=""""",5,4.32,Dragonsteel Entertainment,Kindle Edition,486,2023,2023,2025/08/05,2023/12/10,,,read,,,,1,0
25076674,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""""","=""""",0,3.92,HarperOne,Kindle Edition,84,2021,1988,2025/07/04,2023/12/03,,,read,,,,1,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",4,4.35,Viking,Hardcover,464,2014,2014,2025/06/20,2023/12/03,,,read,,,,1,0
1268479,Warbreaker,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.30,Self-published,ebook,688,2009,2009,,2025/07/02,to-read,to-read (#37),to-read,,,,0,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",0,4.17,Tor Fantasy,Mass Market Paperback,638,2006,2005,,2025/07/02,to-read,to-read (#36),to-read,,,,0,0
